Registration,TestDate,Result,ExpiryDate,Advisories,TestCentre,RecordedAt,RecordedBy
AMB114,2022-02-12,Pass,2023-02-11,Slight play in steering linkage,Canvey Commercial Testing,2022-02-12T14:26:00,Demo Admin
AMB125,2022-02-12,Pass,2023-02-11,,Canvey Commercial Testing,2022-02-12T10:50:00,Demo Admin
AMB259,2022-02-12,Pass,2023-02-11,Minor windscreen damage outside driver's view,Southend Vehicle Test Centre,2022-02-12T11:04:00,Demo Admin
AMB207,2022-02-13,Pass,2023-02-12,,Canvey Commercial Testing,2022-02-13T12:45:00,Demo Admin
AMB241,2022-02-13,Pass,2023-02-12,Minor windscreen damage outside driver's view,Essex Commercial MOT Centre,2022-02-13T16:41:00,Demo Admin
AMB186,2022-02-16,Pass,2023-02-15,Offside rear tyre worn close to legal limit,Essex Commercial MOT Centre,2022-02-16T08:24:00,Demo Admin
AMB189,2022-02-17,Pass,2023-02-16,Offside rear tyre worn close to legal limit,Essex Commercial MOT Centre,2022-02-17T10:15:00,Demo Admin
AMB151,2022-02-18,Pass,2023-02-17,Registration plate deteriorated but not likely to be misread,Chelmsford Fleet Services,2022-02-18T15:11:00,Demo Admin
AMB167,2022-02-18,Pass,2023-02-17,Minor windscreen damage outside driver's view,Essex Commercial MOT Centre,2022-02-18T08:22:00,Demo Admin
AMB222,2022-02-18,Fail,,Headlamp not working,Chelmsford Fleet Services,2022-02-18T13:12:00,Demo Admin
AMB284,2022-02-20,Pass,2023-02-19,"Oil leak, but not excessive",Southend Vehicle Test Centre,2022-02-20T15:58:00,Demo Admin
AMB165,2022-02-24,Pass,2023-02-23,Brake disc worn but not seriously weakened,Essex Commercial MOT Centre,2022-02-24T17:36:00,Demo Admin
AMB193,2022-03-04,Pass,2023-03-03,,Canvey Commercial Testing,2022-03-04T12:17:00,Demo Admin
AMB123,2022-03-07,Pass,2023-03-06,Offside rear tyre worn close to legal limit,Essex Commercial MOT Centre,2022-03-07T15:10:00,Demo Admin
AMB150,2022-03-08,Pass,2023-03-07,,Chelmsford Fleet Services,2022-03-08T09:10:00,Demo Admin
AMB220,2022-03-10,Pass,2023-03-09,,Chelmsford Fleet Services,2022-03-10T16:43:00,Demo Admin
AMB230,2022-03-13,Fail,,Service brake performance below requirements,Essex Commercial MOT Centre,2022-03-13T15:16:00,Demo Admin
AMB115,2022-03-14,Pass,2023-03-13,Brake disc worn but not seriously weakened,Essex Commercial MOT Centre,2022-03-14T10:19:00,Demo Admin
AMB271,2022-03-14,Pass,2023-03-13,Nearside front tyre worn close to legal limit,Canvey Commercial Testing,2022-03-14T10:10:00,Demo Admin
AMB129,2022-03-15,Pass,2023-03-14,Brake disc worn but not seriously weakened,Canvey Commercial Testing,2022-03-15T14:08:00,Demo Admin
AMB197,2022-03-17,Pass,2023-03-16,,Southend Vehicle Test Centre,2022-03-17T15:00:00,Demo Admin
AMB279,2022-03-17,Pass,2023-03-16,Nearside front tyre worn close to legal limit,Southend Vehicle Test Centre,2022-03-17T09:55:00,Demo Admin
AMB294,2022-03-17,Pass,2023-03-16,Slight play in steering linkage,Canvey Commercial Testing,2022-03-17T11:28:00,Demo Admin
AMB172,2022-03-19,Pass,2023-03-18,,Southend Vehicle Test Centre,2022-03-19T14:51:00,Demo Admin
AMB283,2022-03-19,Pass,2023-03-18,Brake disc worn but not seriously weakened,Canvey Commercial Testing,2022-03-19T11:51:00,Demo Admin
AMB148,2022-03-20,Pass,2023-03-19,Nearside front tyre worn close to legal limit,Canvey Commercial Testing,2022-03-20T08:17:00,Demo Admin
AMB180,2022-03-22,Pass,2023-03-21,"Oil leak, but not excessive",Southend Vehicle Test Centre,2022-03-22T12:56:00,Demo Admin
AMB289,2022-03-22,Pass,2023-03-21,,Southend Vehicle Test Centre,2022-03-22T15:01:00,Demo Admin
AMB187,2022-03-24,Fail,,Headlamp not working,Southend Vehicle Test Centre,2022-03-24T09:36:00,Demo Admin
AMB236,2022-04-08,Pass,2023-04-07,Minor windscreen damage outside driver's view,Southend Vehicle Test Centre,2022-04-08T09:30:00,Demo Admin
AMB173,2022-04-09,Pass,2023-04-08,,Southend Vehicle Test Centre,2022-04-09T09:27:00,Demo Admin
AMB291,2022-04-09,Pass,2023-04-08,Registration plate deteriorated but not likely to be misread,Canvey Commercial Testing,2022-04-09T10:31:00,Demo Admin
AMB211,2022-04-10,Pass,2023-04-09,Nearside front tyre worn close to legal limit,Essex Commercial MOT Centre,2022-04-10T08:16:00,Demo Admin
AMB221,2022-04-12,Pass,2023-04-11,,Essex Commercial MOT Centre,2022-04-12T09:00:00,Demo Admin
AMB195,2022-04-14,Pass,2023-04-13,Slight play in steering linkage,Southend Vehicle Test Centre,2022-04-14T12:25:00,Demo Admin
AMB273,2022-04-15,Pass,2023-04-14,,Chelmsford Fleet Services,2022-04-15T11:25:00,Demo Admin
AMB141,2022-04-16,Pass,2023-04-15,"Oil leak, but not excessive",Canvey Commercial Testing,2022-04-16T14:24:00,Demo Admin
AMB225,2022-04-17,Pass,2023-04-16,,Southend Vehicle Test Centre,2022-04-17T11:01:00,Demo Admin
AMB205,2022-04-18,Pass,2023-04-17,Nearside front tyre worn close to legal limit,Essex Commercial MOT Centre,2022-04-18T12:49:00,Demo Admin
AMB272,2022-04-18,Pass,2023-04-17,Brake disc worn but not seriously weakened,Chelmsford Fleet Services,2022-04-18T11:58:00,Demo Admin
AMB243,2022-04-20,Pass,2023-04-19,Slight play in steering linkage,Canvey Commercial Testing,2022-04-20T11:02:00,Demo Admin
AMB109,2022-04-21,Pass,2023-04-20,,Chelmsford Fleet Services,2022-04-21T17:11:00,Demo Admin
AMB227,2022-04-24,Pass,2023-04-23,,Essex Commercial MOT Centre,2022-04-24T09:28:00,Demo Admin
AMB237,2022-04-24,Pass,2023-04-23,Offside rear tyre worn close to legal limit,Southend Vehicle Test Centre,2022-04-24T09:36:00,Demo Admin
AMB268,2022-04-25,Fail,,Suspension component excessively worn,Canvey Commercial Testing,2022-04-25T13:18:00,Demo Admin
AMB108,2022-05-04,Pass,2023-05-03,Minor windscreen damage outside driver's view,Chelmsford Fleet Services,2022-05-04T12:20:00,Demo Admin
AMB228,2022-05-04,Pass,2023-05-03,Offside rear tyre worn close to legal limit,Chelmsford Fleet Services,2022-05-04T08:52:00,Demo Admin
AMB140,2022-05-13,Pass,2023-05-12,"Oil leak, but not excessive",Canvey Commercial Testing,2022-05-13T12:54:00,Demo Admin
AMB170,2022-05-13,Pass,2023-05-12,Offside rear tyre worn close to legal limit,Southend Vehicle Test Centre,2022-05-13T13:33:00,Demo Admin
AMB290,2022-05-13,Pass,2023-05-12,"Oil leak, but not excessive",Chelmsford Fleet Services,2022-05-13T11:10:00,Demo Admin
AMB269,2022-05-15,Pass,2023-05-14,Brake disc worn but not seriously weakened,Southend Vehicle Test Centre,2022-05-15T08:18:00,Demo Admin
AMB276,2022-05-15,Pass,2023-05-14,Nearside front tyre worn close to legal limit,Canvey Commercial Testing,2022-05-15T14:24:00,Demo Admin
AMB297,2022-05-15,Pass,2023-05-14,Offside rear tyre worn close to legal limit,Canvey Commercial Testing,2022-05-15T16:07:00,Demo Admin
AMB251,2022-05-16,Pass,2023-05-15,Registration plate deteriorated but not likely to be misread,Chelmsford Fleet Services,2022-05-16T11:25:00,Demo Admin
AMB139,2022-05-17,Pass,2023-05-16,,Essex Commercial MOT Centre,2022-05-17T17:06:00,Demo Admin
AMB113,2022-05-18,Pass,2023-05-17,Nearside front tyre worn close to legal limit,Chelmsford Fleet Services,2022-05-18T12:14:00,Demo Admin
AMB124,2022-05-18,Pass,2023-05-17,,Southend Vehicle Test Centre,2022-05-18T16:21:00,Demo Admin
AMB154,2022-05-18,Pass,2023-05-17,,Canvey Commercial Testing,2022-05-18T14:35:00,Demo Admin
AMB191,2022-05-19,Pass,2023-05-18,,Essex Commercial MOT Centre,2022-05-19T12:44:00,Demo Admin
AMB219,2022-05-21,Pass,2023-05-20,Nearside front tyre worn close to legal limit,Essex Commercial MOT Centre,2022-05-21T09:32:00,Demo Admin
AMB229,2022-05-21,Fail,,Tyre tread depth below legal minimum,Canvey Commercial Testing,2022-05-21T08:16:00,Demo Admin
AMB158,2022-06-05,Pass,2023-06-04,Brake disc worn but not seriously weakened,Chelmsford Fleet Services,2022-06-05T08:11:00,Demo Admin
AMB118,2022-06-07,Pass,2023-06-06,"Oil leak, but not excessive",Essex Commercial MOT Centre,2022-06-07T09:56:00,Demo Admin
AMB274,2022-06-07,Pass,2023-06-06,,Canvey Commercial Testing,2022-06-07T08:26:00,Demo Admin
AMB107,2022-06-09,Fail,,Headlamp not working,Essex Commercial MOT Centre,2022-06-09T11:58:00,Demo Admin
AMB153,2022-06-10,Pass,2023-06-09,Minor windscreen damage outside driver's view,Essex Commercial MOT Centre,2022-06-10T14:16:00,Demo Admin
AMB245,2022-06-10,Pass,2023-06-09,,Canvey Commercial Testing,2022-06-10T11:56:00,Demo Admin
AMB196,2022-06-12,Pass,2023-06-11,Minor windscreen damage outside driver's view,Southend Vehicle Test Centre,2022-06-12T13:24:00,Demo Admin
AMB103,2022-06-13,Pass,2023-06-12,"Oil leak, but not excessive",Essex Commercial MOT Centre,2022-06-13T11:06:00,Demo Admin
AMB162,2022-06-13,Pass,2023-06-12,Registration plate deteriorated but not likely to be misread,Southend Vehicle Test Centre,2022-06-13T09:47:00,Demo Admin
AMB231,2022-06-13,Pass,2023-06-12,"Oil leak, but not excessive",Essex Commercial MOT Centre,2022-06-13T15:02:00,Demo Admin
AMB253,2022-06-17,Pass,2023-06-16,Brake disc worn but not seriously weakened,Canvey Commercial Testing,2022-06-17T15:49:00,Demo Admin
AMB138,2022-06-19,Pass,2023-06-18,,Essex Commercial MOT Centre,2022-06-19T09:56:00,Demo Admin
AMB174,2022-06-20,Pass,2023-06-19,,Southend Vehicle Test Centre,2022-06-20T15:33:00,Demo Admin
AMB255,2022-06-21,Pass,2023-06-20,Nearside front tyre worn close to legal limit,Southend Vehicle Test Centre,2022-06-21T13:34:00,Demo Admin
AMB288,2022-06-21,Pass,2023-06-20,Slight play in steering linkage,Essex Commercial MOT Centre,2022-06-21T14:08:00,Demo Admin
AMB119,2022-06-23,Pass,2023-06-22,Registration plate deteriorated but not likely to be misread,Essex Commercial MOT Centre,2022-06-23T17:18:00,Demo Admin
AMB175,2022-07-04,Pass,2023-07-03,Slight play in steering linkage,Canvey Commercial Testing,2022-07-04T10:06:00,Demo Admin
AMB183,2022-07-05,Pass,2023-07-04,,Essex Commercial MOT Centre,2022-07-05T08:48:00,Demo Admin
AMB252,2022-07-07,Fail,,Tyre tread depth below legal minimum,Chelmsford Fleet Services,2022-07-07T14:48:00,Demo Admin
AMB106,2022-07-09,Pass,2023-07-08,Brake disc worn but not seriously weakened,Southend Vehicle Test Centre,2022-07-09T14:15:00,Demo Admin
AMB262,2022-07-13,Pass,2023-07-12,Offside rear tyre worn close to legal limit,Chelmsford Fleet Services,2022-07-13T14:12:00,Demo Admin
AMB105,2022-07-14,Pass,2023-07-13,,Chelmsford Fleet Services,2022-07-14T15:45:00,Demo Admin
AMB133,2022-07-14,Pass,2023-07-13,"Oil leak, but not excessive",Chelmsford Fleet Services,2022-07-14T08:23:00,Demo Admin
AMB157,2022-07-14,Pass,2023-07-13,,Canvey Commercial Testing,2022-07-14T14:22:00,Demo Admin
AMB264,2022-07-14,Pass,2023-07-13,,Chelmsford Fleet Services,2022-07-14T08:48:00,Demo Admin
AMB117,2022-07-15,Pass,2023-07-14,,Canvey Commercial Testing,2022-07-15T14:07:00,Demo Admin
AMB149,2022-07-18,Pass,2023-07-17,Slight play in steering linkage,Canvey Commercial Testing,2022-07-18T08:54:00,Demo Admin
AMB204,2022-07-19,Pass,2023-07-18,,Chelmsford Fleet Services,2022-07-19T16:30:00,Demo Admin
AMB131,2022-07-21,Fail,,Headlamp not working,Chelmsford Fleet Services,2022-07-21T13:37:00,Demo Admin
AMB188,2022-07-22,Pass,2023-07-21,Offside rear tyre worn close to legal limit,Essex Commercial MOT Centre,2022-07-22T13:59:00,Demo Admin
AMB218,2022-07-22,Pass,2023-07-21,Registration plate deteriorated but not likely to be misread,Essex Commercial MOT Centre,2022-07-22T16:00:00,Demo Admin
AMB280,2022-07-22,Pass,2023-07-21,Offside rear tyre worn close to legal limit,Essex Commercial MOT Centre,2022-07-22T12:33:00,Demo Admin
AMB126,2022-08-04,Pass,2023-08-03,Brake disc worn but not seriously weakened,Chelmsford Fleet Services,2022-08-04T13:50:00,Demo Admin
AMB101,2022-08-05,Pass,2023-08-04,Registration plate deteriorated but not likely to be misread,Essex Commercial MOT Centre,2022-08-05T11:02:00,Demo Admin
AMB161,2022-08-08,Pass,2023-08-07,,Essex Commercial MOT Centre,2022-08-08T13:56:00,Demo Admin
AMB215,2022-08-09,Pass,2023-08-08,Offside rear tyre worn close to legal limit,Southend Vehicle Test Centre,2022-08-09T11:53:00,Demo Admin
AMB254,2022-08-09,Pass,2023-08-08,Offside rear tyre worn close to legal limit,Southend Vehicle Test Centre,2022-08-09T16:03:00,Demo Admin
AMB164,2022-08-11,Pass,2023-08-10,Minor windscreen damage outside driver's view,Chelmsford Fleet Services,2022-08-11T15:25:00,Demo Admin
AMB248,2022-08-11,Pass,2023-08-10,Registration plate deteriorated but not likely to be misread,Southend Vehicle Test Centre,2022-08-11T09:52:00,Demo Admin
AMB137,2022-08-12,Pass,2023-08-11,"Oil leak, but not excessive",Canvey Commercial Testing,2022-08-12T16:33:00,Demo Admin
AMB182,2022-08-12,Pass,2023-08-11,,Essex Commercial MOT Centre,2022-08-12T11:45:00,Demo Admin
AMB210,2022-08-14,Pass,2023-08-13,Slight play in steering linkage,Southend Vehicle Test Centre,2022-08-14T12:56:00,Demo Admin
AMB214,2022-08-14,Pass,2023-08-13,,Chelmsford Fleet Services,2022-08-14T13:52:00,Demo Admin
AMB127,2022-08-16,Pass,2023-08-15,Brake disc worn but not seriously weakened,Canvey Commercial Testing,2022-08-16T09:18:00,Demo Admin
AMB159,2022-08-19,Fail,,Headlamp not working,Chelmsford Fleet Services,2022-08-19T10:34:00,Demo Admin
AMB130,2022-08-20,Pass,2023-08-19,,Essex Commercial MOT Centre,2022-08-20T12:57:00,Demo Admin
AMB258,2022-08-21,Pass,2023-08-20,Minor windscreen damage outside driver's view,Southend Vehicle Test Centre,2022-08-21T08:30:00,Demo Admin
AMB226,2022-08-23,Pass,2023-08-22,Offside rear tyre worn close to legal limit,Essex Commercial MOT Centre,2022-08-23T16:35:00,Demo Admin
AMB128,2022-09-06,Pass,2023-09-05,,Canvey Commercial Testing,2022-09-06T12:49:00,Demo Admin
AMB200,2022-09-09,Pass,2023-09-08,Nearside front tyre worn close to legal limit,Canvey Commercial Testing,2022-09-09T09:27:00,Demo Admin
AMB168,2022-09-11,Pass,2023-09-10,Minor windscreen damage outside driver's view,Southend Vehicle Test Centre,2022-09-11T16:14:00,Demo Admin
AMB199,2022-09-11,Pass,2023-09-10,,Canvey Commercial Testing,2022-09-11T13:38:00,Demo Admin
AMB300,2022-09-11,Pass,2023-09-10,Offside rear tyre worn close to legal limit,Southend Vehicle Test Centre,2022-09-11T12:29:00,Demo Admin
AMB282,2022-09-12,Pass,2023-09-11,,Essex Commercial MOT Centre,2022-09-12T12:53:00,Demo Admin
AMB116,2022-09-14,Pass,2023-09-13,Minor windscreen damage outside driver's view,Canvey Commercial Testing,2022-09-14T17:05:00,Demo Admin
AMB178,2022-09-15,Pass,2023-09-14,,Canvey Commercial Testing,2022-09-15T12:16:00,Demo Admin
AMB201,2022-09-15,Pass,2023-09-14,,Canvey Commercial Testing,2022-09-15T10:00:00,Demo Admin
AMB179,2022-09-16,Pass,2023-09-15,Nearside front tyre worn close to legal limit,Essex Commercial MOT Centre,2022-09-16T15:01:00,Demo Admin
AMB296,2022-09-16,Pass,2023-09-15,Slight play in steering linkage,Southend Vehicle Test Centre,2022-09-16T15:20:00,Demo Admin
AMB146,2022-09-17,Pass,2023-09-16,Slight play in steering linkage,Essex Commercial MOT Centre,2022-09-17T16:18:00,Demo Admin
AMB242,2022-09-17,Pass,2023-09-16,Slight play in steering linkage,Southend Vehicle Test Centre,2022-09-17T13:48:00,Demo Admin
AMB216,2022-09-19,Pass,2023-09-18,,Canvey Commercial Testing,2022-09-19T16:29:00,Demo Admin
AMB223,2022-09-22,Fail,,Service brake performance below requirements,Canvey Commercial Testing,2022-09-22T15:29:00,Demo Admin
AMB267,2022-09-24,Pass,2023-09-23,Minor windscreen damage outside driver's view,Canvey Commercial Testing,2022-09-24T13:37:00,Demo Admin
AMB224,2022-10-06,Pass,2023-10-05,Brake disc worn but not seriously weakened,Essex Commercial MOT Centre,2022-10-06T13:28:00,Demo Admin
AMB234,2022-10-07,Pass,2023-10-06,"Oil leak, but not excessive",Canvey Commercial Testing,2022-10-07T16:55:00,Demo Admin
AMB171,2022-10-09,Pass,2023-10-08,Brake disc worn but not seriously weakened,Essex Commercial MOT Centre,2022-10-09T16:13:00,Demo Admin
AMB102,2022-10-10,Pass,2023-10-09,Nearside front tyre worn close to legal limit,Chelmsford Fleet Services,2022-10-10T16:40:00,Demo Admin
AMB122,2022-10-11,Pass,2023-10-10,,Chelmsford Fleet Services,2022-10-11T14:28:00,Demo Admin
AMB144,2022-10-11,Pass,2023-10-10,Brake disc worn but not seriously weakened,Canvey Commercial Testing,2022-10-11T10:42:00,Demo Admin
AMB152,2022-10-13,Pass,2023-10-12,Brake disc worn but not seriously weakened,Southend Vehicle Test Centre,2022-10-13T13:20:00,Demo Admin
AMB169,2022-10-13,Pass,2023-10-12,Minor windscreen damage outside driver's view,Canvey Commercial Testing,2022-10-13T10:29:00,Demo Admin
AMB244,2022-10-14,Pass,2023-10-13,,Canvey Commercial Testing,2022-10-14T09:21:00,Demo Admin
AMB246,2022-10-14,Pass,2023-10-13,,Essex Commercial MOT Centre,2022-10-14T15:21:00,Demo Admin
AMB249,2022-10-14,Pass,2023-10-13,Brake disc worn but not seriously weakened,Southend Vehicle Test Centre,2022-10-14T12:45:00,Demo Admin
AMB147,2022-10-15,Pass,2023-10-14,Nearside front tyre worn close to legal limit,Essex Commercial MOT Centre,2022-10-15T14:44:00,Demo Admin
AMB217,2022-10-16,Pass,2023-10-15,,Essex Commercial MOT Centre,2022-10-16T17:41:00,Demo Admin
AMB286,2022-10-16,Pass,2023-10-15,Nearside front tyre worn close to legal limit,Canvey Commercial Testing,2022-10-16T13:33:00,Demo Admin
AMB238,2022-10-21,Pass,2023-10-20,"Oil leak, but not excessive",Essex Commercial MOT Centre,2022-10-21T09:12:00,Demo Admin
AMB278,2022-10-21,Pass,2023-10-20,,Southend Vehicle Test Centre,2022-10-21T10:01:00,Demo Admin
AMB270,2022-11-06,Pass,2023-11-05,Brake disc worn but not seriously weakened,Essex Commercial MOT Centre,2022-11-06T13:02:00,Demo Admin
AMB134,2022-11-07,Pass,2023-11-06,Registration plate deteriorated but not likely to be misread,Essex Commercial MOT Centre,2022-11-07T16:24:00,Demo Admin
AMB160,2022-11-07,Pass,2023-11-06,Nearside front tyre worn close to legal limit,Chelmsford Fleet Services,2022-11-07T09:34:00,Demo Admin
AMB212,2022-11-07,Pass,2023-11-06,,Southend Vehicle Test Centre,2022-11-07T11:56:00,Demo Admin
AMB235,2022-11-09,Pass,2023-11-08,Minor windscreen damage outside driver's view,Southend Vehicle Test Centre,2022-11-09T17:43:00,Demo Admin
AMB121,2022-11-11,Pass,2023-11-10,Registration plate deteriorated but not likely to be misread,Essex Commercial MOT Centre,2022-11-11T13:45:00,Demo Admin
AMB156,2022-11-11,Pass,2023-11-10,,Southend Vehicle Test Centre,2022-11-11T13:50:00,Demo Admin
AMB202,2022-11-11,Pass,2023-11-10,Brake disc worn but not seriously weakened,Canvey Commercial Testing,2022-11-11T10:03:00,Demo Admin
AMB206,2022-11-11,Pass,2023-11-10,Nearside front tyre worn close to legal limit,Chelmsford Fleet Services,2022-11-11T12:58:00,Demo Admin
AMB112,2022-11-12,Pass,2023-11-11,,Southend Vehicle Test Centre,2022-11-12T16:25:00,Demo Admin
AMB209,2022-11-12,Pass,2023-11-11,Nearside front tyre worn close to legal limit,Southend Vehicle Test Centre,2022-11-12T10:04:00,Demo Admin
AMB136,2022-11-13,Pass,2023-11-12,Minor windscreen damage outside driver's view,Southend Vehicle Test Centre,2022-11-13T10:54:00,Demo Admin
AMB184,2022-11-13,Pass,2023-11-12,Registration plate deteriorated but not likely to be misread,Canvey Commercial Testing,2022-11-13T12:10:00,Demo Admin
AMB275,2022-11-13,Pass,2023-11-12,Brake disc worn but not seriously weakened,Chelmsford Fleet Services,2022-11-13T14:36:00,Demo Admin
AMB298,2022-11-13,Pass,2023-11-12,,Chelmsford Fleet Services,2022-11-13T12:53:00,Demo Admin
AMB292,2022-11-15,Pass,2023-11-14,Offside rear tyre worn close to legal limit,Chelmsford Fleet Services,2022-11-15T17:06:00,Demo Admin
AMB299,2022-11-16,Pass,2023-11-15,Registration plate deteriorated but not likely to be misread,Chelmsford Fleet Services,2022-11-16T13:15:00,Demo Admin
AMB208,2022-11-19,Pass,2023-11-18,,Essex Commercial MOT Centre,2022-11-19T15:55:00,Demo Admin
AMB285,2022-11-19,Pass,2023-11-18,,Chelmsford Fleet Services,2022-11-19T11:01:00,Demo Admin
AMB181,2022-11-20,Fail,,Headlamp not working,Chelmsford Fleet Services,2022-11-20T12:01:00,Demo Admin
AMB240,2022-11-21,Pass,2023-11-20,Brake disc worn but not seriously weakened,Canvey Commercial Testing,2022-11-21T16:01:00,Demo Admin
AMB295,2022-12-06,Pass,2023-12-05,"Oil leak, but not excessive",Canvey Commercial Testing,2022-12-06T13:01:00,Demo Admin
AMB110,2022-12-09,Pass,2023-12-08,"Oil leak, but not excessive",Essex Commercial MOT Centre,2022-12-09T09:04:00,Demo Admin
AMB233,2022-12-09,Pass,2023-12-08,,Essex Commercial MOT Centre,2022-12-09T09:08:00,Demo Admin
AMB257,2022-12-11,Pass,2023-12-10,"Oil leak, but not excessive",Chelmsford Fleet Services,2022-12-11T08:55:00,Demo Admin
AMB111,2022-12-12,Pass,2023-12-11,Registration plate deteriorated but not likely to be misread,Chelmsford Fleet Services,2022-12-12T12:26:00,Demo Admin
AMB120,2022-12-12,Pass,2023-12-11,Registration plate deteriorated but not likely to be misread,Essex Commercial MOT Centre,2022-12-12T09:19:00,Demo Admin
AMB185,2022-12-12,Pass,2023-12-11,,Essex Commercial MOT Centre,2022-12-12T16:49:00,Demo Admin
AMB277,2022-12-12,Pass,2023-12-11,"Oil leak, but not excessive",Southend Vehicle Test Centre,2022-12-12T10:47:00,Demo Admin
AMB263,2022-12-13,Pass,2023-12-12,Nearside front tyre worn close to legal limit,Southend Vehicle Test Centre,2022-12-13T14:19:00,Demo Admin
AMB194,2022-12-14,Pass,2023-12-13,Minor windscreen damage outside driver's view,Essex Commercial MOT Centre,2022-12-14T11:29:00,Demo Admin
AMB190,2022-12-17,Pass,2023-12-16,Offside rear tyre worn close to legal limit,Chelmsford Fleet Services,2022-12-17T08:13:00,Demo Admin
AMB266,2022-12-18,Pass,2023-12-17,Registration plate deteriorated but not likely to be misread,Essex Commercial MOT Centre,2022-12-18T17:18:00,Demo Admin
AMB281,2022-12-18,Pass,2023-12-17,"Oil leak, but not excessive",Canvey Commercial Testing,2022-12-18T16:18:00,Demo Admin
AMB155,2022-12-19,Pass,2023-12-18,Brake disc worn but not seriously weakened,Southend Vehicle Test Centre,2022-12-19T11:01:00,Demo Admin
AMB260,2022-12-19,Pass,2023-12-18,Offside rear tyre worn close to legal limit,Essex Commercial MOT Centre,2022-12-19T08:44:00,Demo Admin
AMB135,2022-12-21,Pass,2023-12-20,Minor windscreen damage outside driver's view,Southend Vehicle Test Centre,2022-12-21T15:00:00,Demo Admin
AMB177,2023-01-04,Pass,2024-01-03,Minor windscreen damage outside driver's view,Southend Vehicle Test Centre,2023-01-04T09:45:00,Demo Admin
AMB232,2023-01-08,Pass,2024-01-07,Offside rear tyre worn close to legal limit,Essex Commercial MOT Centre,2023-01-08T10:26:00,Demo Admin
AMB143,2023-01-09,Pass,2024-01-08,Slight play in steering linkage,Southend Vehicle Test Centre,2023-01-09T09:47:00,Demo Admin
AMB198,2023-01-10,Pass,2024-01-09,"Oil leak, but not excessive",Canvey Commercial Testing,2023-01-10T11:44:00,Demo Admin
AMB287,2023-01-10,Pass,2024-01-09,Registration plate deteriorated but not likely to be misread,Essex Commercial MOT Centre,2023-01-10T11:35:00,Demo Admin
AMB256,2023-01-11,Pass,2024-01-10,Nearside front tyre worn close to legal limit,Chelmsford Fleet Services,2023-01-11T15:11:00,Demo Admin
AMB145,2023-01-14,Pass,2024-01-13,Slight play in steering linkage,Chelmsford Fleet Services,2023-01-14T11:47:00,Demo Admin
