"Registration","TestDate","Result","ExpiryDate","Advisories","TestCentre","RecordedAt","RecordedBy"
"AMB153","2022-02-06","Pass","2023-02-11","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2022-02-06T14:42:00","Demo Admin"
"AMB203","2022-02-06","Pass","2023-02-06","Offside rear tyre worn close to legal limit","Canvey Commercial Testing","2022-02-06T16:14:00","Demo Admin"
"AMB300","2022-02-07","Pass","2023-02-22","Offside rear tyre worn close to legal limit","Chelmsford Fleet Services","2022-02-07T10:59:00","Demo Admin"
"AMB232","2022-02-10","Pass","2023-02-21","Nearside front tyre worn close to legal limit","Chelmsford Fleet Services","2022-02-10T11:24:00","Demo Admin"
"AMB199","2022-02-11","Pass","2023-02-13","Slight play in steering linkage","Southend Vehicle Test Centre","2022-02-11T10:22:00","Demo Admin"
"AMB167","2022-02-12","Pass","2023-02-21","Offside rear tyre worn close to legal limit","Chelmsford Fleet Services","2022-02-12T12:04:00","Demo Admin"
"AMB141","2022-02-14","Pass","2023-02-22","","Essex Commercial MOT Centre","2022-02-14T08:51:00","Demo Admin"
"AMB163","2022-02-14","Pass","2023-02-23","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2022-02-14T09:16:00","Demo Admin"
"AMB165","2022-02-14","Pass","2023-02-21","Minor windscreen damage outside driver's view","Chelmsford Fleet Services","2022-02-14T16:03:00","Demo Admin"
"AMB231","2022-02-17","Pass","2023-03-04","","Canvey Commercial Testing","2022-02-17T11:44:00","Demo Admin"
"AMB238","2022-02-19","Pass","2023-03-03","","Canvey Commercial Testing","2022-02-19T12:49:00","Demo Admin"
"AMB137","2022-02-20","Pass","2023-03-07","","Essex Commercial MOT Centre","2022-02-20T09:25:00","Demo Admin"
"AMB214","2022-02-21","Pass","2023-03-07","Offside rear tyre worn close to legal limit","Chelmsford Fleet Services","2022-02-21T13:11:00","Demo Admin"
"AMB124","2022-02-22","Pass","2023-03-07","Offside rear tyre worn close to legal limit","Chelmsford Fleet Services","2022-02-22T15:09:00","Demo Admin"
"AMB280","2022-02-22","Pass","2023-03-09","Offside rear tyre worn close to legal limit","Southend Vehicle Test Centre","2022-02-22T15:19:00","Demo Admin"
"AMB169","2022-02-23","Pass","2023-03-06","","Chelmsford Fleet Services","2022-02-23T14:23:00","Demo Admin"
"AMB218","2022-03-01","Pass","2023-03-05","Slight play in steering linkage","Essex Commercial MOT Centre","2022-03-01T14:40:00","Demo Admin"
"AMB133","2022-03-04","Pass","2023-03-20","","Southend Vehicle Test Centre","2022-03-04T15:06:00","Demo Admin"
"AMB254","2022-03-05","Pass","2023-03-05","Minor windscreen damage outside driver's view","Essex Commercial MOT Centre","2022-03-05T10:19:00","Demo Admin"
"AMB110","2022-03-07","Pass","2023-03-16","Slight play in steering linkage","Canvey Commercial Testing","2022-03-07T14:33:00","Demo Admin"
"AMB258","2022-03-08","Pass","2023-03-25","","Canvey Commercial Testing","2022-03-08T13:42:00","Demo Admin"
"AMB287","2022-03-10","Pass","2023-03-15","Offside rear tyre worn close to legal limit","Canvey Commercial Testing","2022-03-10T09:35:00","Demo Admin"
"AMB179","2022-03-13","Pass","2023-03-14","Minor windscreen damage outside driver's view","Essex Commercial MOT Centre","2022-03-13T12:11:00","Demo Admin"
"AMB211","2022-03-14","Pass","2023-03-23","","Chelmsford Fleet Services","2022-03-14T15:29:00","Demo Admin"
"AMB127","2022-03-24","Pass","2023-04-09","Nearside front tyre worn close to legal limit","Canvey Commercial Testing","2022-03-24T08:45:00","Demo Admin"
"AMB227","2022-03-24","Pass","2023-04-06","Brake disc worn but not seriously weakened","Chelmsford Fleet Services","2022-03-24T16:52:00","Demo Admin"
"AMB273","2022-03-27","Pass","2023-04-07","","Canvey Commercial Testing","2022-03-27T09:30:00","Demo Admin"
"AMB136","2022-03-28","Pass","2023-04-11","Nearside front tyre worn close to legal limit","Canvey Commercial Testing","2022-03-28T14:46:00","Demo Admin"
"AMB272","2022-03-28","Pass","2023-04-11","Slight play in steering linkage","Canvey Commercial Testing","2022-03-28T16:19:00","Demo Admin"
"AMB182","2022-03-30","Pass","2023-04-07","Brake disc worn but not seriously weakened","Essex Commercial MOT Centre","2022-03-30T14:43:00","Demo Admin"
"AMB216","2022-04-01","Pass","2023-04-13","Oil leak, but not excessive","Essex Commercial MOT Centre","2022-04-01T13:21:00","Demo Admin"
"AMB250","2022-04-02","Pass","2023-04-06","Brake disc worn but not seriously weakened","Canvey Commercial Testing","2022-04-02T08:00:00","Demo Admin"
"AMB241","2022-04-10","Pass","2023-04-24","","Chelmsford Fleet Services","2022-04-10T11:17:00","Demo Admin"
"AMB240","2022-04-10","Pass","2023-04-20","","Canvey Commercial Testing","2022-04-10T12:59:00","Demo Admin"
"AMB230","2022-04-12","Pass","2023-04-15","Registration plate deteriorated but not likely to be misread","Chelmsford Fleet Services","2022-04-12T15:10:00","Demo Admin"
"AMB117","2022-04-14","Pass","2023-04-14","Offside rear tyre worn close to legal limit","Chelmsford Fleet Services","2022-04-14T09:17:00","Demo Admin"
"AMB142","2022-04-15","Pass","2023-04-16","Oil leak, but not excessive","Canvey Commercial Testing","2022-04-15T13:37:00","Demo Admin"
"AMB245","2022-04-22","Pass","2023-05-03","Brake disc worn but not seriously weakened","Canvey Commercial Testing","2022-04-22T09:41:00","Demo Admin"
"AMB193","2022-04-22","Pass","2023-04-24","Brake disc worn but not seriously weakened","Southend Vehicle Test Centre","2022-04-22T11:37:00","Demo Admin"
"AMB150","2022-04-24","Pass","2023-05-07","Registration plate deteriorated but not likely to be misread","Chelmsford Fleet Services","2022-04-24T11:51:00","Demo Admin"
"AMB154","2022-04-26","Pass","2023-05-07","","Canvey Commercial Testing","2022-04-26T12:23:00","Demo Admin"
"AMB289","2022-05-02","Pass","2023-05-14","Minor windscreen damage outside driver's view","Essex Commercial MOT Centre","2022-05-02T13:58:00","Demo Admin"
"AMB219","2022-05-03","Pass","2023-05-16","Offside rear tyre worn close to legal limit","Canvey Commercial Testing","2022-05-03T10:04:00","Demo Admin"
"AMB189","2022-05-04","Pass","2023-05-18","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2022-05-04T16:05:00","Demo Admin"
"AMB170","2022-05-06","Pass","2023-05-17","Slight play in steering linkage","Canvey Commercial Testing","2022-05-06T15:18:00","Demo Admin"
"AMB262","2022-05-07","Pass","2023-05-18","Brake disc worn but not seriously weakened","Southend Vehicle Test Centre","2022-05-07T12:05:00","Demo Admin"
"AMB188","2022-05-07","Pass","2023-05-12","Slight play in steering linkage","Essex Commercial MOT Centre","2022-05-07T12:22:00","Demo Admin"
"AMB107","2022-05-08","Pass","2023-05-23","","Chelmsford Fleet Services","2022-05-08T16:19:00","Demo Admin"
"AMB207","2022-05-12","Pass","2023-05-24","Nearside front tyre worn close to legal limit","Essex Commercial MOT Centre","2022-05-12T13:36:00","Demo Admin"
"AMB105","2022-05-13","Pass","2023-05-25","Oil leak, but not excessive","Chelmsford Fleet Services","2022-05-13T08:41:00","Demo Admin"
"AMB125","2022-05-14","Pass","2023-05-14","Minor windscreen damage outside driver's view","Canvey Commercial Testing","2022-05-14T16:16:00","Demo Admin"
"AMB149","2022-05-19","Pass","2023-06-04","Nearside front tyre worn close to legal limit","Essex Commercial MOT Centre","2022-05-19T09:32:00","Demo Admin"
"AMB176","2022-05-19","Pass","2023-06-05","","Chelmsford Fleet Services","2022-05-19T12:22:00","Demo Admin"
"AMB282","2022-05-23","Pass","2023-05-24","","Chelmsford Fleet Services","2022-05-23T12:10:00","Demo Admin"
"AMB190","2022-05-27","Pass","2023-06-11","Slight play in steering linkage","Canvey Commercial Testing","2022-05-27T11:14:00","Demo Admin"
"AMB281","2022-05-28","Pass","2023-06-03","Nearside front tyre worn close to legal limit","Canvey Commercial Testing","2022-05-28T14:28:00","Demo Admin"
"AMB156","2022-05-30","Pass","2023-06-10","Offside rear tyre worn close to legal limit","Canvey Commercial Testing","2022-05-30T13:12:00","Demo Admin"
"AMB159","2022-06-05","Pass","2023-06-14","","Essex Commercial MOT Centre","2022-06-05T16:50:00","Demo Admin"
"AMB151","2022-06-08","Pass","2023-06-25","Offside rear tyre worn close to legal limit","Chelmsford Fleet Services","2022-06-08T09:32:00","Demo Admin"
"AMB243","2022-06-10","Pass","2023-06-10","Offside rear tyre worn close to legal limit","Southend Vehicle Test Centre","2022-06-10T10:34:00","Demo Admin"
"AMB175","2022-06-10","Pass","2023-06-17","","Southend Vehicle Test Centre","2022-06-10T15:40:00","Demo Admin"
"AMB112","2022-06-11","Pass","2023-06-18","","Canvey Commercial Testing","2022-06-11T10:38:00","Demo Admin"
"AMB276","2022-06-12","Pass","2023-06-20","","Chelmsford Fleet Services","2022-06-12T13:36:00","Demo Admin"
"AMB101","2022-06-14","Pass","2023-06-16","","Essex Commercial MOT Centre","2022-06-14T10:04:00","Demo Admin"
"AMB288","2022-06-16","Pass","2023-06-18","Nearside front tyre worn close to legal limit","Canvey Commercial Testing","2022-06-16T10:29:00","Demo Admin"
"AMB294","2022-06-19","Pass","2023-06-21","","Canvey Commercial Testing","2022-06-19T16:29:00","Demo Admin"
"AMB102","2022-06-21","Pass","2023-07-07","Brake disc worn but not seriously weakened","Canvey Commercial Testing","2022-06-21T08:46:00","Demo Admin"
"AMB187","2022-06-21","Pass","2023-07-08","Offside rear tyre worn close to legal limit","Essex Commercial MOT Centre","2022-06-21T10:11:00","Demo Admin"
"AMB172","2022-06-23","Pass","2023-07-08","Slight play in steering linkage","Chelmsford Fleet Services","2022-06-23T08:26:00","Demo Admin"
"AMB160","2022-06-24","Pass","2023-07-04","Slight play in steering linkage","Canvey Commercial Testing","2022-06-24T09:20:00","Demo Admin"
"AMB114","2022-06-24","Pass","2023-07-10","Nearside front tyre worn close to legal limit","Chelmsford Fleet Services","2022-06-24T10:17:00","Demo Admin"
"AMB292","2022-06-28","Pass","2023-07-14","Slight play in steering linkage","Essex Commercial MOT Centre","2022-06-28T13:02:00","Demo Admin"
"AMB115","2022-07-01","Pass","2023-07-13","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2022-07-01T12:05:00","Demo Admin"
"AMB295","2022-07-03","Pass","2023-07-12","","Chelmsford Fleet Services","2022-07-03T15:02:00","Demo Admin"
"AMB298","2022-07-05","Pass","2023-07-08","Offside rear tyre worn close to legal limit","Essex Commercial MOT Centre","2022-07-05T11:40:00","Demo Admin"
"AMB106","2022-07-05","Pass","2023-07-21","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2022-07-05T16:48:00","Demo Admin"
"AMB205","2022-07-06","Pass","2023-07-22","Offside rear tyre worn close to legal limit","Canvey Commercial Testing","2022-07-06T09:38:00","Demo Admin"
"AMB264","2022-07-06","Pass","2023-07-10","Minor windscreen damage outside driver's view","Essex Commercial MOT Centre","2022-07-06T15:17:00","Demo Admin"
"AMB120","2022-07-07","Pass","2023-07-12","Offside rear tyre worn close to legal limit","Essex Commercial MOT Centre","2022-07-07T11:59:00","Demo Admin"
"AMB181","2022-07-08","Pass","2023-07-08","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2022-07-08T09:41:00","Demo Admin"
"AMB164","2022-07-08","Pass","2023-07-14","","Southend Vehicle Test Centre","2022-07-08T15:54:00","Demo Admin"
"AMB239","2022-07-10","Pass","2023-07-14","Slight play in steering linkage","Chelmsford Fleet Services","2022-07-10T15:49:00","Demo Admin"
"AMB210","2022-07-11","Pass","2023-07-11","Nearside front tyre worn close to legal limit","Chelmsford Fleet Services","2022-07-11T08:41:00","Demo Admin"
"AMB180","2022-07-12","Pass","2023-07-14","Brake disc worn but not seriously weakened","Chelmsford Fleet Services","2022-07-12T14:37:00","Demo Admin"
"AMB130","2022-07-14","Pass","2023-07-15","Slight play in steering linkage","Chelmsford Fleet Services","2022-07-14T15:36:00","Demo Admin"
"AMB144","2022-07-16","Pass","2023-07-21","","Essex Commercial MOT Centre","2022-07-16T15:13:00","Demo Admin"
"AMB267","2022-07-17","Pass","2023-07-21","Nearside front tyre worn close to legal limit","Southend Vehicle Test Centre","2022-07-17T11:51:00","Demo Admin"
"AMB198","2022-07-17","Pass","2023-07-21","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2022-07-17T16:16:00","Demo Admin"
"AMB138","2022-07-17","Pass","2023-07-21","Offside rear tyre worn close to legal limit","Chelmsford Fleet Services","2022-07-17T16:41:00","Demo Admin"
"AMB206","2022-07-18","Pass","2023-07-23","Offside rear tyre worn close to legal limit","Southend Vehicle Test Centre","2022-07-18T10:25:00","Demo Admin"
"AMB217","2022-07-18","Pass","2023-07-24","Offside rear tyre worn close to legal limit","Canvey Commercial Testing","2022-07-18T13:50:00","Demo Admin"
"AMB157","2022-07-19","Pass","2023-07-28","Slight play in steering linkage","Southend Vehicle Test Centre","2022-07-19T10:22:00","Demo Admin"
"AMB196","2022-07-20","Pass","2023-07-28","Brake disc worn but not seriously weakened","Essex Commercial MOT Centre","2022-07-20T16:16:00","Demo Admin"
"AMB140","2022-07-22","Pass","2023-08-06","Oil leak, but not excessive","Essex Commercial MOT Centre","2022-07-22T09:04:00","Demo Admin"
"AMB246","2022-07-26","Pass","2023-08-09","Nearside front tyre worn close to legal limit","Essex Commercial MOT Centre","2022-07-26T10:08:00","Demo Admin"
"AMB161","2022-07-26","Pass","2023-08-03","Nearside front tyre worn close to legal limit","Chelmsford Fleet Services","2022-07-26T12:00:00","Demo Admin"
"AMB242","2022-07-26","Pass","2023-07-28","","Canvey Commercial Testing","2022-07-26T13:05:00","Demo Admin"
"AMB247","2022-07-28","Pass","2023-08-09","Offside rear tyre worn close to legal limit","Southend Vehicle Test Centre","2022-07-28T11:31:00","Demo Admin"
"AMB278","2022-07-29","Pass","2023-08-08","Nearside front tyre worn close to legal limit","Canvey Commercial Testing","2022-07-29T14:49:00","Demo Admin"
"AMB221","2022-07-30","Pass","2023-08-04","","Canvey Commercial Testing","2022-07-30T13:42:00","Demo Admin"
"AMB186","2022-07-31","Pass","2023-08-03","Slight play in steering linkage","Canvey Commercial Testing","2022-07-31T14:49:00","Demo Admin"
"AMB178","2022-08-01","Pass","2023-08-16","Slight play in steering linkage","Chelmsford Fleet Services","2022-08-01T10:23:00","Demo Admin"
"AMB248","2022-08-02","Pass","2023-08-07","Minor windscreen damage outside driver's view","Canvey Commercial Testing","2022-08-02T08:05:00","Demo Admin"
"AMB220","2022-08-02","Pass","2023-08-19","Offside rear tyre worn close to legal limit","Essex Commercial MOT Centre","2022-08-02T09:33:00","Demo Admin"
"AMB279","2022-08-02","Pass","2023-08-03","Registration plate deteriorated but not likely to be misread","Southend Vehicle Test Centre","2022-08-02T16:59:00","Demo Admin"
"AMB197","2022-08-03","Pass","2023-08-18","Offside rear tyre worn close to legal limit","Canvey Commercial Testing","2022-08-03T15:58:00","Demo Admin"
"AMB285","2022-08-07","Pass","2023-08-09","","Chelmsford Fleet Services","2022-08-07T11:36:00","Demo Admin"
"AMB123","2022-08-13","Pass","2023-08-19","Nearside front tyre worn close to legal limit","Essex Commercial MOT Centre","2022-08-13T12:00:00","Demo Admin"
"AMB111","2022-08-15","Pass","2023-08-25","","Chelmsford Fleet Services","2022-08-15T15:58:00","Demo Admin"
"AMB244","2022-08-18","Pass","2023-08-18","Nearside front tyre worn close to legal limit","Chelmsford Fleet Services","2022-08-18T14:48:00","Demo Admin"
"AMB108","2022-08-18","Pass","2023-08-20","Brake disc worn but not seriously weakened","Canvey Commercial Testing","2022-08-18T15:41:00","Demo Admin"
"AMB162","2022-08-31","Pass","2023-09-03","","Southend Vehicle Test Centre","2022-08-31T12:55:00","Demo Admin"
"AMB293","2022-09-02","Pass","2023-09-05","Nearside front tyre worn close to legal limit","Essex Commercial MOT Centre","2022-09-02T08:31:00","Demo Admin"
"AMB261","2022-09-05","Pass","2023-09-13","","Chelmsford Fleet Services","2022-09-05T10:41:00","Demo Admin"
"AMB121","2022-09-05","Pass","2023-09-12","Minor windscreen damage outside driver's view","Canvey Commercial Testing","2022-09-05T11:30:00","Demo Admin"
"AMB252","2022-09-05","Pass","2023-09-09","Minor windscreen damage outside driver's view","Southend Vehicle Test Centre","2022-09-05T13:46:00","Demo Admin"
"AMB202","2022-09-06","Pass","2023-09-06","Oil leak, but not excessive","Canvey Commercial Testing","2022-09-06T15:52:00","Demo Admin"
"AMB233","2022-09-08","Pass","2023-09-10","Nearside front tyre worn close to legal limit","Chelmsford Fleet Services","2022-09-08T14:50:00","Demo Admin"
"AMB177","2022-09-08","Pass","2023-09-19","","Chelmsford Fleet Services","2022-09-08T16:44:00","Demo Admin"
"AMB296","2022-09-08","Pass","2023-09-24","Oil leak, but not excessive","Essex Commercial MOT Centre","2022-09-08T16:44:00","Demo Admin"
"AMB166","2022-09-12","Pass","2023-09-15","","Canvey Commercial Testing","2022-09-12T16:34:00","Demo Admin"
"AMB129","2022-09-13","Pass","2023-09-25","Brake disc worn but not seriously weakened","Chelmsford Fleet Services","2022-09-13T15:12:00","Demo Admin"
"AMB260","2022-09-19","Pass","2023-09-25","","Canvey Commercial Testing","2022-09-19T11:28:00","Demo Admin"
"AMB236","2022-09-21","Pass","2023-09-21","","Canvey Commercial Testing","2022-09-21T09:08:00","Demo Admin"
"AMB228","2022-09-21","Pass","2023-09-25","Brake disc worn but not seriously weakened","Canvey Commercial Testing","2022-09-21T16:15:00","Demo Admin"
"AMB194","2022-09-25","Pass","2023-10-09","Oil leak, but not excessive","Essex Commercial MOT Centre","2022-09-25T10:47:00","Demo Admin"
"AMB200","2022-09-25","Pass","2023-10-06","","Essex Commercial MOT Centre","2022-09-25T15:27:00","Demo Admin"
"AMB212","2022-09-27","Pass","2023-10-03","","Essex Commercial MOT Centre","2022-09-27T10:04:00","Demo Admin"
"AMB126","2022-09-30","Pass","2023-10-16","Nearside front tyre worn close to legal limit","Canvey Commercial Testing","2022-09-30T11:40:00","Demo Admin"
"AMB269","2022-10-03","Pass","2023-10-11","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2022-10-03T10:25:00","Demo Admin"
"AMB213","2022-10-04","Pass","2023-10-15","Minor windscreen damage outside driver's view","Essex Commercial MOT Centre","2022-10-04T08:51:00","Demo Admin"
"AMB255","2022-10-04","Pass","2023-10-07","Minor windscreen damage outside driver's view","Chelmsford Fleet Services","2022-10-04T11:29:00","Demo Admin"
"AMB122","2022-10-05","Pass","2023-10-20","Minor windscreen damage outside driver's view","Canvey Commercial Testing","2022-10-05T08:07:00","Demo Admin"
"AMB235","2022-10-06","Pass","2023-10-08","Minor windscreen damage outside driver's view","Southend Vehicle Test Centre","2022-10-06T15:11:00","Demo Admin"
"AMB225","2022-10-10","Pass","2023-10-17","","Essex Commercial MOT Centre","2022-10-10T15:51:00","Demo Admin"
"AMB183","2022-10-14","Pass","2023-10-16","Offside rear tyre worn close to legal limit","Chelmsford Fleet Services","2022-10-14T14:48:00","Demo Admin"
"AMB103","2022-10-15","Pass","2023-10-24","Offside rear tyre worn close to legal limit","Canvey Commercial Testing","2022-10-15T08:22:00","Demo Admin"
"AMB229","2022-10-15","Pass","2023-10-24","Brake disc worn but not seriously weakened","Canvey Commercial Testing","2022-10-15T13:18:00","Demo Admin"
"AMB290","2022-10-20","Pass","2023-11-03","Slight play in steering linkage","Chelmsford Fleet Services","2022-10-20T16:53:00","Demo Admin"
"AMB143","2022-10-21","Pass","2023-10-23","Nearside front tyre worn close to legal limit","Southend Vehicle Test Centre","2022-10-21T14:56:00","Demo Admin"
"AMB134","2022-10-23","Pass","2023-11-05","","Essex Commercial MOT Centre","2022-10-23T16:57:00","Demo Admin"
"AMB155","2022-10-24","Pass","2023-11-08","Offside rear tyre worn close to legal limit","Chelmsford Fleet Services","2022-10-24T12:39:00","Demo Admin"
"AMB215","2022-10-28","Pass","2023-11-11","","Chelmsford Fleet Services","2022-10-28T09:03:00","Demo Admin"
"AMB174","2022-10-30","Pass","2023-11-16","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2022-10-30T16:27:00","Demo Admin"
"AMB192","2022-11-01","Pass","2023-11-13","","Essex Commercial MOT Centre","2022-11-01T12:05:00","Demo Admin"
"AMB113","2022-11-02","Pass","2023-11-03","Nearside front tyre worn close to legal limit","Canvey Commercial Testing","2022-11-02T08:33:00","Demo Admin"
"AMB234","2022-11-02","Pass","2023-11-17","","Essex Commercial MOT Centre","2022-11-02T12:10:00","Demo Admin"
"AMB224","2022-11-02","Pass","2023-11-09","","Canvey Commercial Testing","2022-11-02T14:52:00","Demo Admin"
"AMB116","2022-11-03","Pass","2023-11-12","Brake disc worn but not seriously weakened","Chelmsford Fleet Services","2022-11-03T10:23:00","Demo Admin"
"AMB152","2022-11-05","Pass","2023-11-21","Minor windscreen damage outside driver's view","Chelmsford Fleet Services","2022-11-05T09:04:00","Demo Admin"
"AMB104","2022-11-05","Pass","2023-11-08","","Canvey Commercial Testing","2022-11-05T14:59:00","Demo Admin"
"AMB283","2022-11-06","Pass","2023-11-07","Slight play in steering linkage","Chelmsford Fleet Services","2022-11-06T08:49:00","Demo Admin"
"AMB299","2022-11-06","Pass","2023-11-09","","Southend Vehicle Test Centre","2022-11-06T16:41:00","Demo Admin"
"AMB185","2022-11-07","Pass","2023-11-11","","Canvey Commercial Testing","2022-11-07T13:26:00","Demo Admin"
"AMB168","2022-11-07","Pass","2023-11-21","Offside rear tyre worn close to legal limit","Canvey Commercial Testing","2022-11-07T15:13:00","Demo Admin"
"AMB237","2022-11-08","Pass","2023-11-10","","Canvey Commercial Testing","2022-11-08T16:57:00","Demo Admin"
"AMB222","2022-11-09","Pass","2023-11-17","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2022-11-09T15:12:00","Demo Admin"
"AMB275","2022-11-10","Pass","2023-11-24","Oil leak, but not excessive","Canvey Commercial Testing","2022-11-10T14:15:00","Demo Admin"
"AMB209","2022-11-11","Pass","2023-11-13","Minor windscreen damage outside driver's view","Chelmsford Fleet Services","2022-11-11T13:42:00","Demo Admin"
"AMB291","2022-11-12","Pass","2023-11-18","Offside rear tyre worn close to legal limit","Canvey Commercial Testing","2022-11-12T09:17:00","Demo Admin"
"AMB271","2022-11-12","Pass","2023-11-19","Slight play in steering linkage","Chelmsford Fleet Services","2022-11-12T12:55:00","Demo Admin"
"AMB128","2022-11-13","Pass","2023-11-17","","Southend Vehicle Test Centre","2022-11-13T09:27:00","Demo Admin"
"AMB257","2022-11-13","Pass","2023-11-25","Registration plate deteriorated but not likely to be misread","Southend Vehicle Test Centre","2022-11-13T09:51:00","Demo Admin"
"AMB259","2022-11-13","Pass","2023-11-25","Nearside front tyre worn close to legal limit","Chelmsford Fleet Services","2022-11-13T12:57:00","Demo Admin"
"AMB204","2022-11-14","Pass","2023-11-25","Nearside front tyre worn close to legal limit","Southend Vehicle Test Centre","2022-11-14T11:11:00","Demo Admin"
"AMB274","2022-11-17","Pass","2023-11-21","Nearside front tyre worn close to legal limit","Canvey Commercial Testing","2022-11-17T13:55:00","Demo Admin"
"AMB201","2022-11-17","Pass","2023-11-19","","Canvey Commercial Testing","2022-11-17T14:52:00","Demo Admin"
"AMB148","2022-11-17","Pass","2023-11-20","Slight play in steering linkage","Canvey Commercial Testing","2022-11-17T16:37:00","Demo Admin"
"AMB146","2022-11-21","Pass","2023-12-06","Slight play in steering linkage","Essex Commercial MOT Centre","2022-11-21T11:42:00","Demo Admin"
"AMB131","2022-11-24","Pass","2023-12-03","","Chelmsford Fleet Services","2022-11-24T16:41:00","Demo Admin"
"AMB256","2022-11-26","Pass","2023-12-05","","Canvey Commercial Testing","2022-11-26T10:53:00","Demo Admin"
"AMB109","2022-11-29","Pass","2023-12-11","","Canvey Commercial Testing","2022-11-29T12:56:00","Demo Admin"
"AMB226","2022-11-29","Pass","2023-12-05","Oil leak, but not excessive","Canvey Commercial Testing","2022-11-29T13:37:00","Demo Admin"
"AMB266","2022-12-01","Pass","2023-12-05","Registration plate deteriorated but not likely to be misread","Chelmsford Fleet Services","2022-12-01T16:39:00","Demo Admin"
"AMB208","2022-12-04","Pass","2023-12-15","Nearside front tyre worn close to legal limit","Chelmsford Fleet Services","2022-12-04T08:56:00","Demo Admin"
"AMB277","2022-12-07","Pass","2023-12-22","Oil leak, but not excessive","Southend Vehicle Test Centre","2022-12-07T09:44:00","Demo Admin"
"AMB253","2022-12-07","Pass","2023-12-21","","Essex Commercial MOT Centre","2022-12-07T10:21:00","Demo Admin"
"AMB249","2022-12-08","Pass","2023-12-14","","Canvey Commercial Testing","2022-12-08T09:22:00","Demo Admin"
"AMB195","2022-12-09","Pass","2023-12-18","Offside rear tyre worn close to legal limit","Southend Vehicle Test Centre","2022-12-09T15:22:00","Demo Admin"
"AMB251","2022-12-13","Pass","2023-12-24","Offside rear tyre worn close to legal limit","Chelmsford Fleet Services","2022-12-13T10:58:00","Demo Admin"
"AMB139","2022-12-13","Pass","2023-12-22","","Canvey Commercial Testing","2022-12-13T14:03:00","Demo Admin"
