Registration,BaseLocation,EffectiveFrom,EffectiveTo,RecordedAt,RecordedBy
AMB152,Chelmsford,2024-08-23,,2024-08-23T09:00:00,Demo Admin
AMB153,Canvey,2024-01-23,,2024-01-23T14:00:00,Demo Admin
AMB154,Canvey,2024-10-26,,2024-10-26T14:00:00,Demo Admin
AMB155,Chelmsford,2025-08-22,,2025-08-22T16:00:00,Demo Admin
AMB156,Canvey,2024-04-17,,2024-04-17T12:00:00,Demo Admin
AMB157,Southend,2026-02-12,,2026-02-12T08:00:00,Demo Admin
AMB158,Canvey,2025-01-28,,2025-01-28T08:00:00,Demo Admin
AMB159,Canvey,2024-05-22,,2024-05-22T15:00:00,Demo Admin
AMB160,Canvey,2024-12-05,,2024-12-05T17:00:00,Demo Admin
AMB161,Chelmsford,2024-09-23,,2024-09-23T13:00:00,Demo Admin
AMB162,Southend,2026-01-27,,2026-01-27T13:00:00,Demo Admin
AMB163,Canvey,2025-10-26,,2025-10-26T12:00:00,Demo Admin
AMB164,Southend,2025-02-17,,2025-02-17T08:00:00,Demo Admin
AMB165,Chelmsford,2025-03-22,,2025-03-22T08:00:00,Demo Admin
AMB166,Canvey,2024-01-09,,2024-01-09T11:00:00,Demo Admin
AMB167,Chelmsford,2026-05-22,,2026-05-22T13:00:00,Demo Admin
AMB168,Canvey,2024-12-17,,2024-12-17T15:00:00,Demo Admin
AMB169,Chelmsford,2024-01-03,,2024-01-03T14:00:00,Demo Admin
AMB170,Canvey,2025-07-21,,2025-07-21T13:00:00,Demo Admin
AMB171,Chelmsford,2025-11-23,,2025-11-23T07:00:00,Demo Admin
AMB172,Chelmsford,2024-01-30,,2024-01-30T08:00:00,Demo Admin
AMB173,Canvey,2024-01-05,,2024-01-05T11:00:00,Demo Admin
AMB174,Canvey,2025-07-16,,2025-07-16T14:00:00,Demo Admin
AMB175,Southend,2024-10-29,,2024-10-29T07:00:00,Demo Admin
AMB176,Chelmsford,2026-06-17,,2026-06-17T13:00:00,Demo Admin
AMB177,Chelmsford,2025-09-18,,2025-09-18T10:00:00,Demo Admin
AMB178,Chelmsford,2024-07-30,,2024-07-30T08:00:00,Demo Admin
AMB179,Canvey,2024-06-16,,2024-06-16T08:00:00,Demo Admin
AMB180,Chelmsford,2025-03-25,,2025-03-25T12:00:00,Demo Admin
AMB181,Canvey,2026-05-24,,2026-05-24T11:00:00,Demo Admin
AMB182,Chelmsford,2025-03-15,,2025-03-15T09:00:00,Demo Admin
AMB183,Chelmsford,2025-08-02,,2025-08-02T17:00:00,Demo Admin
AMB184,Chelmsford,2024-01-09,,2024-01-09T07:00:00,Demo Admin
AMB185,Canvey,2026-04-30,,2026-04-30T11:00:00,Demo Admin
AMB186,Canvey,2024-05-22,,2024-05-22T17:00:00,Demo Admin
AMB187,Southend,2024-06-07,,2024-06-07T12:00:00,Demo Admin
AMB188,Southend,2024-11-08,,2024-11-08T07:00:00,Demo Admin
AMB189,Canvey,2026-04-20,,2026-04-20T07:00:00,Demo Admin
AMB190,Canvey,2025-06-28,,2025-06-28T13:00:00,Demo Admin
AMB191,Southend,2025-09-03,,2025-09-03T07:00:00,Demo Admin
AMB192,Canvey,2024-02-05,,2024-02-05T15:00:00,Demo Admin
AMB193,Southend,2024-01-15,,2024-01-15T13:00:00,Demo Admin
AMB194,Canvey,2024-03-22,,2024-03-22T11:00:00,Demo Admin
AMB195,Southend,2025-05-07,,2025-05-07T08:00:00,Demo Admin
AMB196,Chelmsford,2025-03-29,,2025-03-29T14:00:00,Demo Admin
AMB197,Canvey,2025-02-13,,2025-02-13T12:00:00,Demo Admin
AMB198,Canvey,2026-03-21,,2026-03-21T10:00:00,Demo Admin
AMB199,Southend,2024-05-15,,2024-05-15T10:00:00,Demo Admin
AMB200,Chelmsford,2024-05-31,,2024-05-31T12:00:00,Demo Admin
AMB201,Canvey,2026-05-31,,2026-05-31T14:00:00,Demo Admin
AMB202,Canvey,2025-06-24,,2025-06-24T16:00:00,Demo Admin
AMB203,Canvey,2024-05-01,,2024-05-01T13:00:00,Demo Admin
AMB204,Southend,2024-05-09,,2024-05-09T12:00:00,Demo Admin
AMB205,Canvey,2024-06-26,,2024-06-26T09:00:00,Demo Admin
AMB206,Southend,2024-01-28,,2024-01-28T15:00:00,Demo Admin
AMB207,Canvey,2026-01-11,,2026-01-11T08:00:00,Demo Admin
AMB208,Chelmsford,2024-04-04,,2024-04-04T14:00:00,Demo Admin
AMB209,Chelmsford,2025-02-04,,2025-02-04T11:00:00,Demo Admin
AMB210,Chelmsford,2025-04-29,,2025-04-29T16:00:00,Demo Admin
AMB211,Chelmsford,2024-03-14,,2024-03-14T09:00:00,Demo Admin
AMB212,Canvey,2024-07-10,,2024-07-10T13:00:00,Demo Admin
AMB213,Chelmsford,2024-03-25,,2024-03-25T11:00:00,Demo Admin
AMB214,Chelmsford,2024-01-27,,2024-01-27T17:00:00,Demo Admin
AMB215,Chelmsford,2026-01-17,,2026-01-17T10:00:00,Demo Admin
AMB216,Southend,2026-05-14,,2026-05-14T15:00:00,Demo Admin
AMB217,Canvey,2024-04-15,,2024-04-15T10:00:00,Demo Admin
AMB218,Canvey,2024-06-05,,2024-06-05T16:00:00,Demo Admin
AMB219,Canvey,2024-09-16,,2024-09-16T10:00:00,Demo Admin
AMB220,Chelmsford,2024-11-25,,2024-11-25T08:00:00,Demo Admin
AMB221,Canvey,2024-09-11,,2024-09-11T14:00:00,Demo Admin
AMB222,Canvey,2025-08-10,,2025-08-10T09:00:00,Demo Admin
AMB223,Canvey,2025-11-14,,2025-11-14T10:00:00,Demo Admin
AMB224,Canvey,2024-04-09,,2024-04-09T10:00:00,Demo Admin
AMB225,Chelmsford,2026-02-17,,2026-02-17T08:00:00,Demo Admin
AMB226,Canvey,2024-11-12,,2024-11-12T16:00:00,Demo Admin
AMB227,Chelmsford,2025-01-19,,2025-01-19T16:00:00,Demo Admin
AMB228,Canvey,2024-02-03,,2024-02-03T10:00:00,Demo Admin
AMB229,Canvey,2024-11-29,,2024-11-29T09:00:00,Demo Admin
AMB230,Chelmsford,2024-10-31,,2024-10-31T07:00:00,Demo Admin
AMB231,Canvey,2026-03-18,,2026-03-18T09:00:00,Demo Admin
AMB232,Chelmsford,2026-06-18,,2026-06-18T13:00:00,Demo Admin
AMB233,Chelmsford,2024-08-17,,2024-08-17T14:00:00,Demo Admin
AMB234,Southend,2024-05-02,,2024-05-02T15:00:00,Demo Admin
AMB235,Southend,2026-05-07,,2026-05-07T09:00:00,Demo Admin
AMB236,Canvey,2024-11-28,,2024-11-28T08:00:00,Demo Admin
AMB237,Canvey,2025-11-05,,2025-11-05T11:00:00,Demo Admin
AMB238,Canvey,2026-05-18,,2026-05-18T12:00:00,Demo Admin
AMB239,Chelmsford,2024-01-14,,2024-01-14T13:00:00,Demo Admin
AMB240,Canvey,2025-06-22,,2025-06-22T16:00:00,Demo Admin
AMB241,Chelmsford,2024-02-20,,2024-02-20T07:00:00,Demo Admin
AMB242,Canvey,2024-11-29,,2024-11-29T15:00:00,Demo Admin
AMB243,Southend,2024-01-19,,2024-01-19T14:00:00,Demo Admin
AMB244,Chelmsford,2024-07-14,,2024-07-14T09:00:00,Demo Admin
AMB245,Canvey,2024-10-27,,2024-10-27T11:00:00,Demo Admin
AMB246,Canvey,2026-03-09,,2026-03-09T16:00:00,Demo Admin
AMB247,Southend,2025-08-26,,2025-08-26T13:00:00,Demo Admin
AMB248,Canvey,2025-02-07,,2025-02-07T09:00:00,Demo Admin
AMB249,Canvey,2024-04-30,,2024-04-30T14:00:00,Demo Admin
AMB250,Canvey,2024-12-30,,2024-12-30T15:00:00,Demo Admin
AMB251,Chelmsford,2025-02-08,,2025-02-08T12:00:00,Demo Admin
AMB252,Southend,2026-03-02,,2026-03-02T15:00:00,Demo Admin
AMB253,Canvey,2025-04-07,,2025-04-07T11:00:00,Demo Admin
AMB254,Canvey,2024-02-15,,2024-02-15T15:00:00,Demo Admin
AMB255,Chelmsford,2024-07-28,,2024-07-28T10:00:00,Demo Admin
AMB256,Canvey,2024-06-01,,2024-06-01T10:00:00,Demo Admin
AMB257,Southend,2026-06-02,,2026-06-02T07:00:00,Demo Admin
AMB258,Canvey,2024-05-01,,2024-05-01T14:00:00,Demo Admin
AMB259,Chelmsford,2024-06-29,,2024-06-29T09:00:00,Demo Admin
AMB260,Canvey,2024-01-30,,2024-01-30T11:00:00,Demo Admin
AMB261,Chelmsford,2025-04-25,,2025-04-25T08:00:00,Demo Admin
AMB262,Southend,2024-11-15,,2024-11-15T07:00:00,Demo Admin
AMB263,Canvey,2025-05-10,,2025-05-10T13:00:00,Demo Admin
AMB264,Canvey,2026-02-25,,2026-02-25T16:00:00,Demo Admin
AMB265,Canvey,2026-03-07,,2026-03-07T17:00:00,Demo Admin
AMB266,Chelmsford,2024-01-29,,2024-01-29T11:00:00,Demo Admin
AMB267,Southend,2025-05-07,,2025-05-07T08:00:00,Demo Admin
AMB268,Canvey,2024-09-04,,2024-09-04T10:00:00,Demo Admin
AMB269,Canvey,2024-10-22,,2024-10-22T10:00:00,Demo Admin
AMB270,Canvey,2026-01-23,,2026-01-23T11:00:00,Demo Admin
AMB271,Chelmsford,2025-05-07,,2025-05-07T10:00:00,Demo Admin
AMB272,Canvey,2025-08-30,,2025-08-30T11:00:00,Demo Admin
AMB273,Canvey,2025-08-22,,2025-08-22T07:00:00,Demo Admin
AMB274,Canvey,2024-04-09,,2024-04-09T10:00:00,Demo Admin
AMB275,Canvey,2026-04-15,,2026-04-15T16:00:00,Demo Admin
AMB276,Chelmsford,2025-12-06,,2025-12-06T16:00:00,Demo Admin
AMB277,Southend,2026-03-01,,2026-03-01T11:00:00,Demo Admin
AMB278,Canvey,2024-04-08,,2024-04-08T17:00:00,Demo Admin
AMB279,Southend,2024-04-26,,2024-04-26T14:00:00,Demo Admin
AMB280,Southend,2024-01-15,,2024-01-15T13:00:00,Demo Admin
AMB281,Canvey,2026-02-01,,2026-02-01T12:00:00,Demo Admin
AMB282,Chelmsford,2024-11-22,,2024-11-22T10:00:00,Demo Admin
AMB283,Chelmsford,2025-09-29,,2025-09-29T12:00:00,Demo Admin
AMB284,Canvey,2025-01-08,,2025-01-08T16:00:00,Demo Admin
AMB285,Chelmsford,2024-06-01,,2024-06-01T12:00:00,Demo Admin
AMB286,Canvey,2024-12-20,,2024-12-20T14:00:00,Demo Admin
AMB287,Canvey,2024-03-04,,2024-03-04T10:00:00,Demo Admin
AMB288,Canvey,2026-01-25,,2026-01-25T07:00:00,Demo Admin
AMB289,Chelmsford,2024-06-23,,2024-06-23T15:00:00,Demo Admin
AMB290,Chelmsford,2025-08-07,,2025-08-07T13:00:00,Demo Admin
AMB291,Canvey,2025-07-22,,2025-07-22T11:00:00,Demo Admin
AMB292,Canvey,2025-12-22,,2025-12-22T07:00:00,Demo Admin
AMB293,Chelmsford,2024-03-09,,2024-03-09T11:00:00,Demo Admin
AMB294,Canvey,2024-03-26,,2024-03-26T10:00:00,Demo Admin
AMB295,Chelmsford,2024-09-01,,2024-09-01T08:00:00,Demo Admin
AMB296,Canvey,2025-03-25,,2025-03-25T15:00:00,Demo Admin
AMB297,Canvey,2024-11-19,,2024-11-19T16:00:00,Demo Admin
AMB298,Southend,2025-11-07,,2025-11-07T10:00:00,Demo Admin
AMB299,Southend,2024-01-18,,2024-01-18T11:00:00,Demo Admin
AMB300,Chelmsford,2025-09-26,,2025-09-26T16:00:00,Demo Admin
